timestamp,service,metric,value
2026-06-14 08:32:14.519000+00:00,unknown,request_latency_ms_p95,22.963813526860573
2026-06-14 08:32:29.519000+00:00,unknown,request_latency_ms_p95,19.57791750573452
2026-06-14 08:32:44.519000+00:00,unknown,request_latency_ms_p95,22.063075807871734
2026-06-14 08:32:59.519000+00:00,unknown,request_latency_ms_p95,103.41135682946415
2026-06-14 08:33:14.519000+00:00,unknown,request_latency_ms_p95,151.5139216351294
2026-06-14 08:33:29.519000+00:00,unknown,request_latency_ms_p95,168.16405734897464
2026-06-14 08:33:44.519000+00:00,unknown,request_latency_ms_p95,182.3051257528512
2026-06-14 08:33:59.519000+00:00,unknown,request_latency_ms_p95,200.33236174290357
2026-06-14 08:34:14.519000+00:00,unknown,request_latency_ms_p95,209.98359970681585
2026-06-14 08:34:29.519000+00:00,unknown,request_latency_ms_p95,217.01967782182433
2026-06-14 08:34:44.519000+00:00,unknown,request_latency_ms_p95,218.66361730030525
2026-06-14 08:34:59.519000+00:00,unknown,request_latency_ms_p95,216.04291372537017
2026-06-14 08:35:14.519000+00:00,unknown,request_latency_ms_p95,216.73482033817095
2026-06-14 08:35:29.519000+00:00,unknown,request_latency_ms_p95,214.80500552057174
2026-06-14 08:35:44.519000+00:00,unknown,request_latency_ms_p95,213.96117391295996
2026-06-14 08:35:59.519000+00:00,unknown,request_latency_ms_p95,211.7668901225174
2026-06-14 08:36:14.519000+00:00,unknown,request_latency_ms_p95,209.36755693511816
2026-06-14 08:36:29.519000+00:00,unknown,request_latency_ms_p95,209.32256719985318
2026-06-14 08:36:44.519000+00:00,unknown,request_latency_ms_p95,208.18060919821195
2026-06-14 08:36:59.519000+00:00,unknown,request_latency_ms_p95,209.95576863059955
2026-06-14 08:37:14.519000+00:00,unknown,request_latency_ms_p95,209.96692830796957
2026-06-14 08:37:29.519000+00:00,unknown,request_latency_ms_p95,209.74235924485467
2026-06-14 08:37:44.519000+00:00,unknown,request_latency_ms_p95,210.00818081819165
2026-06-14 08:37:59.519000+00:00,unknown,request_latency_ms_p95,211.73754879682735
2026-06-14 08:38:14.519000+00:00,unknown,request_latency_ms_p95,209.75624578437603
2026-06-14 08:38:29.519000+00:00,unknown,request_latency_ms_p95,210.7124189601647
2026-06-14 08:38:44.519000+00:00,unknown,request_latency_ms_p95,211.43561964145033
2026-06-14 08:38:59.519000+00:00,unknown,request_latency_ms_p95,211.9352127090945
2026-06-14 08:39:14.519000+00:00,unknown,request_latency_ms_p95,211.63134021339312
2026-06-14 08:39:29.519000+00:00,unknown,request_latency_ms_p95,210.66830388935
2026-06-14 08:39:44.519000+00:00,unknown,request_latency_ms_p95,210.5667992385138
2026-06-14 08:39:59.519000+00:00,unknown,request_latency_ms_p95,211.90207237353286
2026-06-14 08:40:14.519000+00:00,unknown,request_latency_ms_p95,212.91912212971482
2026-06-14 08:40:29.519000+00:00,unknown,request_latency_ms_p95,211.8638050095422
2026-06-14 08:40:44.519000+00:00,unknown,request_latency_ms_p95,211.5352813471158
2026-06-14 08:40:59.519000+00:00,unknown,request_latency_ms_p95,211.13430114606876
2026-06-14 08:41:14.519000+00:00,unknown,request_latency_ms_p95,212.13730992447103
2026-06-14 08:41:29.519000+00:00,unknown,request_latency_ms_p95,212.03441385755582
2026-06-14 08:41:44.519000+00:00,unknown,request_latency_ms_p95,212.14722219910425
2026-06-14 08:41:59.519000+00:00,unknown,request_latency_ms_p95,209.96738477778393
2026-06-14 08:42:14.519000+00:00,unknown,request_latency_ms_p95,208.27632230820836
2026-06-14 08:42:29.519000+00:00,unknown,request_latency_ms_p95,206.8796183333364
2026-06-14 08:42:44.519000+00:00,unknown,request_latency_ms_p95,207.15652742036593
2026-06-14 08:42:59.519000+00:00,unknown,request_latency_ms_p95,207.38344268405763
2026-06-14 08:43:14.519000+00:00,unknown,request_latency_ms_p95,204.6468292459876
